section,per_run
algorithm,profile,pattern,label,run_id,total,success,fail,success_rate,avg_ms,p95_ms,p99_ms,max_ms,source_file
ucb,db,steady,mixed_50_50_matrix,1,500,500,0,100.000,95.239,110.558,119.306,125.810,client_ucb_db_mixed_50_50_matrix_steady_rep2_run1.csv
ucb,db,steady,mixed_50_50_matrix,1,500,500,0,100.000,93.404,111.232,123.151,1090.940,client_ucb_db_mixed_50_50_matrix_steady_rep3_run1.csv
ucb,db,steady,point_light_matrix,1,500,500,0,100.000,97.216,115.409,143.643,1048.381,client_ucb_db_point_light_matrix_steady_rep1_run1.csv
ucb,db,steady,point_light_matrix,1,500,500,0,100.000,98.053,108.243,1024.441,1072.048,client_ucb_db_point_light_matrix_steady_rep2_run1.csv
ucb,db,steady,point_light_matrix,1,500,500,0,100.000,94.652,109.968,115.871,1028.483,client_ucb_db_point_light_matrix_steady_rep3_run1.csv
ucb,db,steady,range_heavy_matrix,1,500,500,0,100.000,100.550,116.073,130.746,1042.511,client_ucb_db_range_heavy_matrix_steady_rep1_run1.csv
ucb,db,steady,range_heavy_matrix,1,500,500,0,100.000,93.676,117.090,127.987,1031.046,client_ucb_db_range_heavy_matrix_steady_rep2_run1.csv
ucb,db,steady,range_heavy_matrix,1,500,500,0,100.000,103.053,114.788,1029.163,1035.914,client_ucb_db_range_heavy_matrix_steady_rep3_run1.csv

section,aggregate_mean_over_runs
algorithm,profile,pattern,label,runs,total_mean,success_mean,fail_mean,success_rate_mean,avg_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_mean
least_connections,db,burst,mixed_50_50_matrix,3,500.000,500.000,0.000,100.000,96.787,103.893,113.395,1097.436
least_connections,db,burst,point_light_matrix,3,500.000,500.000,0.000,100.000,94.279,106.102,112.048,1081.174
least_connections,db,burst,range_heavy_matrix,3,500.000,500.000,0.000,100.000,99.618,111.334,119.184,1096.379
least_connections,db,steady,mixed_50_50_matrix,3,500.000,500.000,0.000,100.000,98.277,115.557,128.322,1107.395
least_connections,db,steady,point_light_matrix,3,500.000,500.000,0.000,100.000,94.957,107.147,115.175,1085.221
least_connections,db,steady,range_heavy_matrix,3,500.000,500.000,0.000,100.000,95.401,106.192,421.982,1096.622
metric_aware,db,burst,mixed_50_50_matrix,3,500.000,500.000,0.000,100.000,272.511,324.514,663.164,1331.589
metric_aware,db,burst,point_light_matrix,3,500.000,500.000,0.000,100.000,137.427,162.379,177.728,856.940
